quantity,bin,binBarcode,barcode,shelf,level,productName,productType,sku,option1,option2,option3,lotName,expiration,warehouse,minCost,avgCost,maxCost,price,committed,incoming,velocity,lastReceivedAt,lastReceivedPO
1,BIN-03,1774887638159,5407008893088,Cavali 2,3,Kentucky Horsewear Glitter Socks,Rider > Accessories & Apparel > Socks,42702-50-35/40,Color: Soft Rose,Size: 35/40,,,,Wellington Warehouse,13.04,13.04,13.04,39.99,0,0,,,
1,BIN-03,1774887638159,5407008893156,Cavali 2,3,Kentucky Horsewear Glitter Socks,Rider > Accessories & Apparel > Socks,42702-50-41/46,Color: Soft Rose,Size: 41/46,,,,Wellington Warehouse,13.04,13.04,13.04,39.99,0,0,,,
0,BIN-03,1774887638159,5407008893040,Cavali 2,3,Kentucky Horsewear Glitter Socks,Rider > Accessories & Apparel > Socks,42702-01-35/40,Color: Black,Size: 35/40,,,,Wellington Warehouse,13.04,13.04,13.04,39.99,0,0,,,
4,Grid wall,1770916055031,5407008899448,Girths,1,Kentucky Horsewear Sunglasses,Rider > Accessories & Apparel > Accessories,42804-01,Type: La Paz,,,,,Wellington Warehouse,104.32,104.32,104.32,269.99,0,0,,,
0,BIN-03,1774887638159,5407008893101,Cavali 2,3,Kentucky Horsewear Glitter Socks,Rider > Accessories & Apparel > Socks,42702-03-41/46,Color: Navy,Size: 41/46,,,,Wellington Warehouse,13.04,13.04,13.04,39.99,0,0,0.012048192,,
1,BIN-03,1774887638159,5407008893125,Cavali 2,3,Kentucky Horsewear Glitter Socks,Rider > Accessories & Apparel > Socks,42702-32-41/46,Color: Beige,Size: 41/46,,,,Wellington Warehouse,13.04,13.04,13.04,39.99,0,0,,,
10,Other,1777650559284,5404022089886,C,1,Grooming Deluxe Baseball Cap,Rider > Accessories & Apparel > Hats,42732-05-F,Color: Brown,,,,,Wellington Warehouse,26.08,26.08,26.08,69.99,0,0,,,
0,BIN-03,1774887638159,5407007538409,Cavali 2,3,Kentucky Horsewear Socks,Rider > Accessories & Apparel > Socks,42208-10-41/46,Color: Pink,Size: 41/46,,,,Wellington Warehouse,13.04,13.04,13.04,39.99,0,0,,,
0,BIN-03,1774887638159,5407007538416,Cavali 2,3,Kentucky Horsewear Socks,Rider > Accessories & Apparel > Socks,42208-61-41/46,Color: Light Blue,Size: 41/46,,,,Wellington Warehouse,13.04,13.04,13.04,39.99,0,0,,,
1,BIN-03,1774887638159,5407008893064,Cavali 2,3,Kentucky Horsewear Glitter Socks,Rider > Accessories & Apparel > Socks,42702-74-35/40,Color: Pine Green,Size: 35/40,,,,Wellington Warehouse,13.04,13.04,13.04,39.99,0,0,,,
